file_name,summary_num_statements,summary_missing_lines,summary_excluded_lines,summary_percent_covered,budget_seconds,seed,strategy,timestamp
scripts\examples\in_func\contradiction_in_func_empty.py,4,0,0,100.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_and.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_duplicates1.py,6,2,0,66.66666666666667,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_duplicates2.py,7,3,0,57.142857142857146,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_duplicates3.py,10,5,0,50.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_duplicates4.py,10,5,0,50.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_in_and_notin.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_in_list1.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_in_list2.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_in_list3.py,9,5,0,44.44444444444444,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_in_or_notin.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_low_case.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_lower.py,6,2,0,66.66666666666667,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_multi.py,6,2,0,66.66666666666667,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_nested.py,6,3,0,50.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_nested2.py,14,8,0,42.857142857142854,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_noise.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
scripts\examples\in_func\in_func_noise_outscope.py,4,1,0,75.0,10,42,None,2025-07-14T17:31:29.562780
