file_name,summary_num_statements,summary_missing_lines,summary_excluded_lines,summary_percent_covered,budget_seconds,seed,strategy,timestamp
scripts\examples\str_with\endswith.py,4,1,0,75.0,10,42,None,2025-07-14T19:27:50.946231
scripts\examples\str_with\endwith_2param.py,6,2,0,66.66666666666667,10,42,None,2025-07-14T19:27:50.946231
scripts\examples\str_with\start_endwith_multi.py,5,2,0,60.0,10,42,None,2025-07-14T19:27:50.946231
scripts\examples\str_with\start_endwith_multi2.py,5,2,0,60.0,10,42,None,2025-07-14T19:27:50.946231
scripts\examples\str_with\start_endwith_nested.py,7,4,0,42.857142857142854,10,42,None,2025-07-14T19:27:50.946231
scripts\examples\str_with\startswith.py,4,1,0,75.0,10,42,None,2025-07-14T19:27:50.946231
scripts\examples\str_with\endswith.py,4,1,0,75.0,10,43,None,2025-07-14T19:28:56.446909
scripts\examples\str_with\endwith_2param.py,6,2,0,66.66666666666667,10,43,None,2025-07-14T19:28:56.446909
scripts\examples\str_with\start_endwith_multi.py,5,2,0,60.0,10,43,None,2025-07-14T19:28:56.446909
scripts\examples\str_with\start_endwith_multi2.py,5,2,0,60.0,10,43,None,2025-07-14T19:28:56.446909
scripts\examples\str_with\start_endwith_nested.py,7,4,0,42.857142857142854,10,43,None,2025-07-14T19:28:56.446909
scripts\examples\str_with\startswith.py,4,1,0,75.0,10,43,None,2025-07-14T19:28:56.446909
scripts\examples\str_with\endswith.py,4,1,0,75.0,10,44,None,2025-07-14T19:30:03.059217
scripts\examples\str_with\endwith_2param.py,6,2,0,66.66666666666667,10,44,None,2025-07-14T19:30:03.059217
scripts\examples\str_with\start_endwith_multi.py,5,2,0,60.0,10,44,None,2025-07-14T19:30:03.059217
scripts\examples\str_with\start_endwith_multi2.py,5,2,0,60.0,10,44,None,2025-07-14T19:30:03.059217
scripts\examples\str_with\start_endwith_nested.py,7,4,0,42.857142857142854,10,44,None,2025-07-14T19:30:03.059217
scripts\examples\str_with\startswith.py,4,1,0,75.0,10,44,None,2025-07-14T19:30:03.059217
scripts\examples\str_with\endswith.py,4,1,0,75.0,10,45,None,2025-07-14T19:31:08.356299
scripts\examples\str_with\endwith_2param.py,6,2,0,66.66666666666667,10,45,None,2025-07-14T19:31:08.356299
scripts\examples\str_with\start_endwith_multi.py,5,2,0,60.0,10,45,None,2025-07-14T19:31:08.356299
scripts\examples\str_with\start_endwith_multi2.py,5,2,0,60.0,10,45,None,2025-07-14T19:31:08.356299
scripts\examples\str_with\start_endwith_nested.py,7,4,0,42.857142857142854,10,45,None,2025-07-14T19:31:08.356299
